,estado,municipio,casosAcumulado,obitosAcumulado
336159,BA,Livramento de Nossa Senhora,4535,93
336319,BA,Luís Eduardo Magalhães,20216,162
336479,BA,Macajuba,1160,15
336639,BA,Macarani,1030,32
336799,BA,Macaúbas,3919,38
336959,BA,Macururé,461,12
337119,BA,Madre de Deus,3685,50
337279,BA,Maetinga,762,10
337439,BA,Maiquinique,1409,15
337599,BA,Mairi,2160,21
337759,BA,Malhada,762,24
337919,BA,Malhada de Pedras,838,16
338079,BA,Manoel Vitorino,1664,36
338239,BA,Mansidão,367,11
338399,BA,Maracás,5058,82
338559,BA,Maragogipe,3059,59
338719,BA,Maraú,2398,22
338879,BA,Marcionílio Souza,829,24
339039,BA,Mascote,1209,28
339199,BA,Mata de São João,5987,80
339359,BA,Matina,1150,13
339519,BA,Medeiros Neto,4344,65
339679,BA,Miguel Calmon,3897,41
339839,BA,Milagres,991,9
339999,BA,Mirangaba,801,11
340159,BA,Mirante,793,9
340319,BA,Monte Santo,2031,69
340479,BA,Morpará,510,15
340639,BA,Morro do Chapéu,4589,34
340799,BA,Mortugaba,1170,20
340959,BA,Mucugê,1454,14
341119,BA,Mucuri,6588,80
341279,BA,Mulungu do Morro,1084,22
341439,BA,Mundo Novo,1414,17
341599,BA,Muniz Ferreira,1349,3
341759,BA,Muquém do São Francisco,929,8
341919,BA,Muritiba,2989,36
342079,BA,Mutuípe,3166,33
342239,BA,Nazaré,3954,60
342399,BA,Nilo Peçanha,1142,20
342559,BA,Nordestina,1365,32
342719,BA,Nova Canaã,1463,27
342879,BA,Nova Fátima,944,6
343039,BA,Nova Ibiá,811,24
343199,BA,Nova Itarana,949,10
343359,BA,Nova Redenção,463,10
343519,BA,Nova Soure,1779,32
343679,BA,Nova Viçosa,4597,75
343839,BA,Novo Horizonte,966,12
343999,BA,Novo Triunfo,757,14
344159,BA,Olindina,1595,31
344319,BA,Oliveira dos Brejinhos,1406,26
344479,BA,Ouriçangas,746,13
344639,BA,Ourolândia,2102,16
344799,BA,Palmas de Monte Alto,1812,22
344959,BA,Palmeiras,783,12
345119,BA,Paramirim,2883,23
345279,BA,Paratinga,2229,37
345439,BA,Paripiranga,2361,36
345599,BA,Pau Brasil,1479,31
345759,BA,Paulo Afonso,15908,259
345919,BA,Pé de Serra,1951,11
346079,BA,Pedrão,536,6
346239,BA,Pedro Alexandre,829,10
346399,BA,Piatã,1710,41
346559,BA,Pilão Arcado,922,31
346719,BA,Pindaí,1249,18
346879,BA,Pindobaçu,2078,34
347039,BA,Pintadas,1610,8
347199,BA,Piraí do Norte,1145,13
347359,BA,Piripá,1186,13
347519,BA,Piritiba,804,17
347679,BA,Planaltino,1131,10
347839,BA,Planalto,2429,47
347999,BA,Poções,6517,92
348159,BA,Pojuca,5967,67
348319,BA,Ponto Novo,811,16
348479,BA,Porto Seguro,20519,300
348639,BA,Potiraguá,742,16
348799,BA,Prado,3918,71
348959,BA,Presidente Dutra,1684,29
349119,BA,Presidente Jânio Quadros,1010,15
349279,BA,Presidente Tancredo Neves,2318,46
349439,BA,Queimadas,2165,47
349599,BA,Quijingue,891,29
349759,BA,Quixabeira,1408,9
349919,BA,Rafael Jambeiro,2196,32
350079,BA,Remanso,4579,96
350239,BA,Retirolândia,2076,15
350399,BA,Riachão das Neves,1984,47
350559,BA,Riachão do Jacuípe,6990,53
350719,BA,Riacho de Santana,3150,52
350879,BA,Ribeira do Amparo,1417,9
351039,BA,Ribeira do Pombal,8016,83
351199,BA,Ribeirão do Largo,758,10
351359,BA,Rio de Contas,1241,9
351519,BA,Rio do Antônio,1600,21
351679,BA,Rio do Pires,463,15
351839,BA,Rio Real,4377,55
351999,BA,Rodelas,580,9
352159,BA,Ruy Barbosa,3891,35
352319,BA,Salinas da Margarida,2077,24
352479,BA,Salvador,339036,9139
352639,BA,Santa Bárbara,2272,28
352799,BA,Santa Brígida,1207,21
352959,BA,Santa Cruz Cabrália,4687,47
353119,BA,Santa Cruz da Vitória,896,11
353279,BA,Santa Inês,1209,14
353439,BA,Santaluz,4569,64
353599,BA,Santa Luzia,1477,36
353759,BA,Santa Maria da Vitória,4805,72
353919,BA,Santana,1294,54
354079,BA,Santanópolis,1034,14
354239,BA,Santa Rita de Cássia,3693,45
354399,BA,Santa Terezinha,1473,17
354559,BA,Santo Amaro,5162,107
354719,BA,Santo Antônio de Jesus,21128,195
354879,BA,Santo Estêvão,6332,67
355039,BA,São Desidério,5005,53
355199,BA,São Domingos,1564,14
355359,BA,São Félix,1330,9
355519,BA,São Félix do Coribe,1796,33
355679,BA,São Felipe,4074,36
355839,BA,São Francisco do Conde,5908,77
355999,BA,São Gabriel,2563,23
356159,BA,São Gonçalo dos Campos,3555,42
356319,BA,São José da Vitória,915,15
356479,BA,São José do Jacuípe,846,3
356639,BA,São Miguel das Matas,1217,8
356799,BA,São Sebastião do Passé,4934,107
356959,BA,Sapeaçu,2926,29
357119,BA,Sátiro Dias,1645,16
357279,BA,Saubara,717,21
357439,BA,Saúde,712,6
357599,BA,Seabra,8106,97
357759,BA,Sebastião Laranjeiras,858,11
357919,BA,Senhor do Bonfim,8824,121
358079,BA,Serra do Ramalho,1445,39
358239,BA,Sento Sé,1749,52
358399,BA,Serra Dourada,1136,24
358559,BA,Serra Preta,1241,23
358719,BA,Serrinha,11928,116
358879,BA,Serrolândia,1327,16
359039,BA,Simões Filho,12060,285
359199,BA,Sítio do Mato,330,15
359359,BA,Sítio do Quinto,946,12
359519,BA,Sobradinho,3366,65
359679,BA,Souto Soares,1285,24
359839,BA,Tabocas do Brejo Velho,357,18
359999,BA,Tanhaçu,2392,34
360159,BA,Tanque Novo,2050,18
360319,BA,Tanquinho,990,17
360479,BA,Taperoá,1483,37
360639,BA,Tapiramutá,726,11
360799,BA,Teixeira de Freitas,27922,395
360959,BA,Teodoro Sampaio,578,11
361119,BA,Teofilândia,1328,24
361279,BA,Teolândia,1365,11
361439,BA,Terra Nova,1168,26
361599,BA,Tremedal,1422,23
361759,BA,Tucano,4644,73
361919,BA,Uauá,3762,70
362079,BA,Ubaíra,2302,34
362239,BA,Ubaitaba,1915,53
362399,BA,Ubatã,2518,58
362559,BA,Uibaí,1495,32
362719,BA,Umburanas,925,11
362879,BA,Una,2637,51
363039,BA,Urandi,1730,20
363199,BA,Uruçuca,3174,82
363359,BA,Utinga,2003,19
363519,BA,Valença,11934,159
363679,BA,Valente,3853,34
363839,BA,Várzea da Roça,1717,15
363999,BA,Várzea do Poço,611,7
364159,BA,Várzea Nova,1189,13
364319,BA,Varzedo,948,8
364479,BA,Vera Cruz,2262,97
364639,BA,Vereda,1083,23
364799,BA,Vitória da Conquista,52360,756
364959,BA,Wagner,1424,10
365119,BA,Wanderley,1172,30
365279,BA,Wenceslau Guimarães,2371,34
365439,BA,Xique-Xique,3417,101
365759,MG,Abadia dos Dourados,1948,23
365919,MG,Abaeté,4273,51
366079,MG,Abre Campo,2197,19
366239,MG,Acaiaca,293,12
366399,MG,Açucena,943,39
366559,MG,Água Boa,1192,18
366719,MG,Água Comprida,623,9
366879,MG,Aguanil,1297,8
367039,MG,Águas Formosas,1762,38
367199,MG,Águas Vermelhas,575,13
367359,MG,Aimorés,4056,99
367519,MG,Aiuruoca,1182,15
367679,MG,Alagoa,748,9
367839,MG,Albertina,869,14
367999,MG,Além Paraíba,7980,175
368159,MG,Alfenas,25258,258
368319,MG,Alfredo Vasconcelos,1681,17
368479,MG,Almenara,7386,71
368639,MG,Alpercata,589,27
368799,MG,Alpinópolis,4777,52
368959,MG,Alterosa,2312,45
369119,MG,Alto Caparaó,693,10
369279,MG,Alto Rio Doce,1304,36
369439,MG,Alvarenga,785,7
369599,MG,Alvinópolis,2600,26
369759,MG,Alvorada de Minas,560,4
369919,MG,Amparo do Serra,450,13
370079,MG,Andradas,8545,147
370239,MG,Cachoeira de Pajeú,691,11
370399,MG,Andrelândia,206,20
370559,MG,Angelândia,623,4
370719,MG,Antônio Carlos,2360,24
370879,MG,Antônio Dias,985,30
371039,MG,Antônio Prado de Minas,405,6
371199,MG,Araçaí,309,2
371359,MG,Aracitaba,109,11
371519,MG,Araçuaí,4372,63
371679,MG,Araguari,35030,544
371839,MG,Arantina,687,7
371999,MG,Araponga,977,16
372159,MG,Araporã,2900,49
372319,MG,Arapuá,463,3
372479,MG,Araújos,947,16
372639,MG,Araxá,42936,316
372799,MG,Arceburgo,2719,37
372959,MG,Arcos,10137,165
373119,MG,Areado,3830,39
373279,MG,Argirita,766,15
373439,MG,Aricanduva,473,0
373599,MG,Arinos,3271,33
373759,MG,Astolfo Dutra,2573,37
373919,MG,Ataléia,1530,13
374079,MG,Augusto de Lima,328,12
374239,MG,Baependi,3938,39
374399,MG,Baldim,935,28
374559,MG,Bambuí,6155,69
374719,MG,Bandeira,747,12
374879,MG,Bandeira do Sul,1477,19
375039,MG,Barão de Cocais,8118,88
375199,MG,Barão de Monte Alto,387,16
375359,MG,Barbacena,20764,378
375519,MG,Barra Longa,704,14
375679,MG,Barroso,5940,78
375839,MG,Bela Vista de Minas,1301,29
375999,MG,Belmiro Braga,1024,6
376159,MG,Belo Horizonte,472778,8451
376319,MG,Belo Oriente,3723,85
376479,MG,Belo Vale,2749,22
376639,MG,Berilo,612,3
376799,MG,Bertópolis,908,6
376959,MG,Berizal,422,3
377119,MG,Betim,56481,1487
377279,MG,Bias Fortes,663,4
377439,MG,Bicas,4072,56
377599,MG,Biquinhas,425,4
377759,MG,Boa Esperança,9345,160
377919,MG,Bocaina de Minas,960,7
378079,MG,Bocaiúva,5054,86
378239,MG,Bom Despacho,13198,145
378399,MG,Bom Jardim de Minas,1499,8
378559,MG,Bom Jesus da Penha,1381,21
378719,MG,Bom Jesus do Amparo,640,9
378879,MG,Bom Jesus do Galho,1034,42
379039,MG,Bom Repouso,2894,35
379199,MG,Bom Sucesso,2646,38
379359,MG,Bonfim,1139,20
379519,MG,Bonfinópolis de Minas,1331,16
379679,MG,Bonito de Minas,781,6
379839,MG,Borda da Mata,6229,67
379999,MG,Botelhos,4241,38
380159,MG,Botumirim,1026,5
380319,MG,Brasilândia de Minas,3446,37
380479,MG,Brasília de Minas,2190,19
380639,MG,Brás Pires,727,13
380799,MG,Braúnas,488,12
380959,MG,Brazópolis,2118,40
381119,MG,Brumadinho,8740,114
381279,MG,Bueno Brandão,2652,41
381439,MG,Buenópolis,1112,21
381599,MG,Bugre,380,14
381759,MG,Buritis,6956,64
381919,MG,Buritizeiro,3970,44
382079,MG,Cabeceira Grande,1839,10
382239,MG,Cabo Verde,2643,26
382399,MG,Cachoeira da Prata,226,17
382559,MG,Cachoeira de Minas,2660,21
382719,MG,Cachoeira Dourada,634,3
382879,MG,Caetanópolis,1918,27
383039,MG,Caeté,3955,87
383199,MG,Caiana,315,7
383359,MG,Cajuri,734,12
383519,MG,Caldas,2551,43
383679,MG,Camacho,356,2
383839,MG,Camanducaia,5772,91
383999,MG,Cambuí,9365,69
384159,MG,Cambuquira,2334,42
384319,MG,Campanário,408,6
384479,MG,Campanha,4409,74
384639,MG,Campestre,6275,56
384799,MG,Campina Verde,9451,56
384959,MG,Campo Azul,616,4
385119,MG,Campo Belo,18136,254
385279,MG,Campo do Meio,2770,21
385439,MG,Campo Florido,1794,19
385599,MG,Campos Altos,2963,32
385759,MG,Campos Gerais,6153,55
385919,MG,Canaã,924,5
386079,MG,Canápolis,2977,35
386239,MG,Cana Verde,679,12
386399,MG,Candeias,2244,43
386559,MG,Cantagalo,618,8
386719,MG,Caparaó,623,7
386879,MG,Capela Nova,512,6
387039,MG,Capelinha,6520,36
387199,MG,Capetinga,1910,38
387359,MG,Capim Branco,1685,23
387519,MG,Capinópolis,4745,63
387679,MG,Capitão Andrade,1131,27
387839,MG,Capitão Enéas,2555,30
387999,MG,Capitólio,3779,44
388159,MG,Caputira,1758,23
388319,MG,Caraí,1798,23
388479,MG,Caranaíba,340,4
388639,MG,Carandaí,4206,59
388799,MG,Carangola,6662,135
388959,MG,Caratinga,14155,334
389119,MG,Carbonita,1530,9
389279,MG,Careaçu,1316,18
389439,MG,Carlos Chagas,3885,40
389599,MG,Carmésia,274,1
389759,MG,Carmo da Cachoeira,2075,26
389919,MG,Carmo da Mata,1413,15
390079,MG,Carmo de Minas,1845,31
390239,MG,Carmo do Cajuru,1557,65
390399,MG,Carmo do Paranaíba,5259,145
390559,MG,Carmo do Rio Claro,6350,78
390719,MG,Carmópolis de Minas,5572,67
390879,MG,Carneirinho,3828,55
391039,MG,Carrancas,1209,10
391199,MG,Carvalhópolis,981,9
391359,MG,Carvalhos,625,5
391519,MG,Casa Grande,328,4
391679,MG,Cascalho Rico,813,4
391839,MG,Cássia,3369,73
391999,MG,Conceição da Barra de Minas,747,8
392159,MG,Cataguases,16702,300
392319,MG,Catas Altas,860,13
392479,MG,Catas Altas da Noruega,374,5
